id,product,year,day,hour
216,ABI-L1b-RadC,2022,221,00
217,ABI-L1b-RadC,2022,221,01
218,ABI-L1b-RadC,2022,221,02
219,ABI-L1b-RadC,2022,221,03
220,ABI-L1b-RadC,2022,221,04
221,ABI-L1b-RadC,2022,221,05
222,ABI-L1b-RadC,2022,221,06
223,ABI-L1b-RadC,2022,221,07
224,ABI-L1b-RadC,2022,221,08
225,ABI-L1b-RadC,2022,221,09
226,ABI-L1b-RadC,2022,221,10
227,ABI-L1b-RadC,2022,221,11
228,ABI-L1b-RadC,2022,221,12
229,ABI-L1b-RadC,2022,221,13
230,ABI-L1b-RadC,2022,221,14
231,ABI-L1b-RadC,2022,221,15
232,ABI-L1b-RadC,2022,221,16
233,ABI-L1b-RadC,2022,221,17
234,ABI-L1b-RadC,2022,221,18
235,ABI-L1b-RadC,2022,221,19
236,ABI-L1b-RadC,2022,221,20
237,ABI-L1b-RadC,2022,221,21
238,ABI-L1b-RadC,2022,221,22
239,ABI-L1b-RadC,2022,221,23
240,ABI-L1b-RadC,2022,222,00
241,ABI-L1b-RadC,2022,222,01
242,ABI-L1b-RadC,2022,222,02
243,ABI-L1b-RadC,2022,222,03
244,ABI-L1b-RadC,2022,222,04
245,ABI-L1b-RadC,2022,222,05
246,ABI-L1b-RadC,2022,222,06
247,ABI-L1b-RadC,2022,222,07
248,ABI-L1b-RadC,2022,222,08
249,ABI-L1b-RadC,2022,222,09
250,ABI-L1b-RadC,2022,222,10
251,ABI-L1b-RadC,2022,222,11
252,ABI-L1b-RadC,2022,222,12
253,ABI-L1b-RadC,2022,222,13
254,ABI-L1b-RadC,2022,222,14
255,ABI-L1b-RadC,2022,222,15
256,ABI-L1b-RadC,2022,222,16
257,ABI-L1b-RadC,2022,222,17
258,ABI-L1b-RadC,2022,222,18
259,ABI-L1b-RadC,2022,222,19
260,ABI-L1b-RadC,2022,222,20
261,ABI-L1b-RadC,2022,222,21
262,ABI-L1b-RadC,2022,222,22
263,ABI-L1b-RadC,2022,222,23
264,ABI-L1b-RadC,2022,223,00
265,ABI-L1b-RadC,2022,223,01
266,ABI-L1b-RadC,2022,223,02
267,ABI-L1b-RadC,2022,223,03
268,ABI-L1b-RadC,2022,223,04
269,ABI-L1b-RadC,2022,223,05
270,ABI-L1b-RadC,2022,223,06
271,ABI-L1b-RadC,2022,223,07
272,ABI-L1b-RadC,2022,223,08
273,ABI-L1b-RadC,2022,223,09
274,ABI-L1b-RadC,2022,223,10
275,ABI-L1b-RadC,2022,223,11
276,ABI-L1b-RadC,2022,223,12
277,ABI-L1b-RadC,2022,223,13
278,ABI-L1b-RadC,2022,223,14
279,ABI-L1b-RadC,2022,223,15
280,ABI-L1b-RadC,2022,223,16
281,ABI-L1b-RadC,2022,223,17
282,ABI-L1b-RadC,2022,223,18
283,ABI-L1b-RadC,2022,223,19
284,ABI-L1b-RadC,2022,223,20
285,ABI-L1b-RadC,2022,223,21
286,ABI-L1b-RadC,2022,223,22
287,ABI-L1b-RadC,2022,223,23
288,ABI-L1b-RadC,2022,224,00
289,ABI-L1b-RadC,2022,224,01
290,ABI-L1b-RadC,2022,224,02
291,ABI-L1b-RadC,2022,224,03
292,ABI-L1b-RadC,2022,224,04
293,ABI-L1b-RadC,2022,224,05
294,ABI-L1b-RadC,2022,224,06
295,ABI-L1b-RadC,2022,224,07
296,ABI-L1b-RadC,2022,224,08
297,ABI-L1b-RadC,2022,224,09
298,ABI-L1b-RadC,2022,224,10
299,ABI-L1b-RadC,2022,224,11
300,ABI-L1b-RadC,2022,224,12
301,ABI-L1b-RadC,2022,224,13
302,ABI-L1b-RadC,2022,224,14
303,ABI-L1b-RadC,2022,224,15
304,ABI-L1b-RadC,2022,224,16
305,ABI-L1b-RadC,2022,224,17
306,ABI-L1b-RadC,2022,224,18
307,ABI-L1b-RadC,2022,224,19
308,ABI-L1b-RadC,2022,224,20
309,ABI-L1b-RadC,2022,224,21
310,ABI-L1b-RadC,2022,224,22
311,ABI-L1b-RadC,2022,224,23
312,ABI-L1b-RadC,2022,225,00
313,ABI-L1b-RadC,2022,225,01
314,ABI-L1b-RadC,2022,225,02
315,ABI-L1b-RadC,2022,225,03
316,ABI-L1b-RadC,2022,225,04
317,ABI-L1b-RadC,2022,225,05
318,ABI-L1b-RadC,2022,225,06
319,ABI-L1b-RadC,2022,225,07
320,ABI-L1b-RadC,2022,225,08
321,ABI-L1b-RadC,2022,225,09
322,ABI-L1b-RadC,2022,225,10
323,ABI-L1b-RadC,2022,225,11
324,ABI-L1b-RadC,2022,225,12
325,ABI-L1b-RadC,2022,225,13
326,ABI-L1b-RadC,2022,225,14
327,ABI-L1b-RadC,2022,225,15
328,ABI-L1b-RadC,2022,225,16
329,ABI-L1b-RadC,2022,225,17
330,ABI-L1b-RadC,2022,225,18
331,ABI-L1b-RadC,2022,225,19
332,ABI-L1b-RadC,2022,225,20
333,ABI-L1b-RadC,2022,225,21
334,ABI-L1b-RadC,2022,225,22
335,ABI-L1b-RadC,2022,225,23
336,ABI-L1b-RadC,2022,226,00
337,ABI-L1b-RadC,2022,226,01
338,ABI-L1b-RadC,2022,226,02
339,ABI-L1b-RadC,2022,226,03
340,ABI-L1b-RadC,2022,226,04
341,ABI-L1b-RadC,2022,226,05
342,ABI-L1b-RadC,2022,226,06
343,ABI-L1b-RadC,2022,226,07
344,ABI-L1b-RadC,2022,226,08
345,ABI-L1b-RadC,2022,226,09
346,ABI-L1b-RadC,2022,226,10
347,ABI-L1b-RadC,2022,226,11
348,ABI-L1b-RadC,2022,226,12
349,ABI-L1b-RadC,2022,226,13
350,ABI-L1b-RadC,2022,226,14
351,ABI-L1b-RadC,2022,226,15
352,ABI-L1b-RadC,2022,226,16
353,ABI-L1b-RadC,2022,226,17
354,ABI-L1b-RadC,2022,226,18
355,ABI-L1b-RadC,2022,226,19
356,ABI-L1b-RadC,2022,226,20
357,ABI-L1b-RadC,2022,226,21
358,ABI-L1b-RadC,2022,226,22
359,ABI-L1b-RadC,2022,226,23
360,ABI-L1b-RadC,2022,227,00
361,ABI-L1b-RadC,2022,227,01
362,ABI-L1b-RadC,2022,227,02
363,ABI-L1b-RadC,2022,227,03
364,ABI-L1b-RadC,2022,227,04
365,ABI-L1b-RadC,2022,227,05
366,ABI-L1b-RadC,2022,227,06
367,ABI-L1b-RadC,2022,227,07
368,ABI-L1b-RadC,2022,227,08
369,ABI-L1b-RadC,2022,227,09
370,ABI-L1b-RadC,2022,227,10
371,ABI-L1b-RadC,2022,227,11
372,ABI-L1b-RadC,2022,227,12
373,ABI-L1b-RadC,2022,227,13
374,ABI-L1b-RadC,2022,227,14
375,ABI-L1b-RadC,2022,227,15
376,ABI-L1b-RadC,2022,227,16
377,ABI-L1b-RadC,2022,227,17
378,ABI-L1b-RadC,2022,227,18
379,ABI-L1b-RadC,2022,227,19
380,ABI-L1b-RadC,2022,227,20
381,ABI-L1b-RadC,2022,227,21
382,ABI-L1b-RadC,2022,227,22
383,ABI-L1b-RadC,2022,227,23
384,ABI-L1b-RadC,2022,228,00
385,ABI-L1b-RadC,2022,228,01
386,ABI-L1b-RadC,2022,228,02
387,ABI-L1b-RadC,2022,228,03
388,ABI-L1b-RadC,2022,228,04
389,ABI-L1b-RadC,2022,228,05
390,ABI-L1b-RadC,2022,228,06
391,ABI-L1b-RadC,2022,228,07
392,ABI-L1b-RadC,2022,228,08
393,ABI-L1b-RadC,2022,228,09
394,ABI-L1b-RadC,2022,228,10
395,ABI-L1b-RadC,2022,228,11
396,ABI-L1b-RadC,2022,228,12
397,ABI-L1b-RadC,2022,228,13
398,ABI-L1b-RadC,2022,228,14
399,ABI-L1b-RadC,2022,228,15
400,ABI-L1b-RadC,2022,228,16
401,ABI-L1b-RadC,2022,228,17
402,ABI-L1b-RadC,2022,228,18
403,ABI-L1b-RadC,2022,228,19
404,ABI-L1b-RadC,2022,228,20
405,ABI-L1b-RadC,2022,228,21
406,ABI-L1b-RadC,2022,228,22
407,ABI-L1b-RadC,2022,228,23
408,ABI-L1b-RadC,2022,229,00
409,ABI-L1b-RadC,2022,229,01
